package,old,new,delta
ffscrapr,1.4.5,1.4.6,*
askpass,1.1,1.1,
assertthat,0.2.1,0.2.1,
backports,1.2.1,1.2.1,
cachem,1.0.6,1.0.6,
checkmate,2.0.0,2.0.0,
cli,3.0.1,3.0.1,
cpp11,0.3.1,0.3.1,
crayon,1.4.1,1.4.1,
curl,4.3.2,4.3.2,
dplyr,1.0.7,1.0.7,
ellipsis,0.3.2,0.3.2,
fansi,0.5.0,0.5.0,
fastmap,1.1.0,1.1.0,
generics,0.1.0,0.1.0,
glue,1.4.2,1.4.2,
httr,1.4.2,1.4.2,
jsonlite,1.7.2,1.7.2,
lifecycle,1.0.0,1.0.0,
lubridate,1.7.10,1.7.10,
magrittr,2.0.1,2.0.1,
memoise,2.0.0,2.0.0,
mime,0.11,0.11,
nflreadr,NA,1.0.0,*
openssl,1.4.4,1.4.4,
pillar,1.6.2,1.6.2,
pkgconfig,2.0.3,2.0.3,
purrr,0.3.4,0.3.4,
qs,NA,0.25.1,*
R6,2.5.1,2.5.1,
RApiSerialize,NA,0.1.0,*
rappdirs,0.3.3,0.3.3,
ratelimitr,0.4.1,0.4.1,
Rcpp,1.0.7,1.0.7,
RcppParallel,NA,5.1.4,*
rlang,0.4.11,0.4.11,
stringfish,NA,0.15.2,*
stringi,1.7.4,1.7.4,
stringr,1.4.0,1.4.0,
sys,3.4,3.4,
tibble,3.1.4,3.1.4,
tidyr,1.1.3,1.1.3,
tidyselect,1.1.1,1.1.1,
utf8,1.2.2,1.2.2,
vctrs,0.3.8,0.3.8,
